Слово,Текст,Оценка
возле,"Примерная презентация Напишите предложение со словом ""возле""",1
спрашивать,"Я сама не знаю чего от меня хотят, но вот чтобы так вот спросить о чём угодно, не Напишите предложение со словом ""спрашивать""",1
крыжовник,"Какой сорт ягод подходит для дачи? Напишите предложение со словом ""крыжовник""",1
осёл,"Это должно получиться ""какая-то"" И тогда это будет ""крест-накрест"", но Напишите предложение со словом ""осёл""",1
слышать,"Что такое голос в произведениях русских писателей? Напишите предложение со словом ""слышать""",1
рисунок,"Напишем его в форме: ""Рисунок – это изображение в виде схемы",1
тетрадь,Какой ещё тетерь в доме есть? Напишите просто тетю,0
происходить,"Если хотите показать пример, то составьте предложения со словом ""Происходить"" - это Напишите предложение со словом ""происходить""",1
шлем,"Если вы не нашли свое предложение на сайте, то нажмите на кнопку ""Подтвердить""",0
ужин,"""А вечером я не ела, Напишите предложение со словом ""ужин""",1
иностранец,"смотря что вы хотите от него) Напишите предложение со словом ""иностранец""",1
мобильный,"Какой способ выбрать? Напишите предложение со словом ""мобильный""",1
плеер,"Какое из них больше всего походит на плеер? Напишите предложение со словом ""плеер""",1
хобби,Вот есть такой писатель - Стивен Кинг,0
фестиваль,Я люблю вас,0
воскресенье,"Какое именно из них Вы пишете? Напишите предложение со словом ""воскресенье""",1
нести,"Слово несёт неопределённый характер : носите, совать, носить при любом способе носить",0
поздравлять,"Мы поможем написать предложения со словом ""поздравлять"" Напишите предложение со словом ""поздравлять""",1
втроем,"Вы можете написать предложение со словом ""втрою""",0
декабрь,не хочу ничего,0
покупать,"Оно состоит из одной части: ""Если ты этого хочешь и у тебя есть какие-то идеи - Напишите предложение со словом ""покупать""",1
индюк,"""Какое слово можно составить? "" Напишите предложение со словом ""индюк""",1
посторонний,"В предложении пишется ""какой-то прохожий.""  Слова ""посторонний Напишите предложение со словом ""посторонний""",1
красиво,"Красиво, красиво..",1
босиком,"как можно быстрее Напишите предложение со словом ""босиком""",1
медсестра,"Как Вы ухаживаете за больными? Напишите предложение со словом ""медсестра""",1
кстати,"Узнать, что означает слово по фамилии Напишите предложение со словом ""кстати""",1
диван,"""Камин для Вас""",0
камера,Вы можете дать ответ на Ваш вопрос при помощи приложения для мобильных устройств (устройство для рисования),0
позавчера,"Напишите предложения со словом ""поужинав вчера""..",0
снаружи,Добрый день!  Я хотела бы начать заниматься живописью,0
чемодан,"Напишите слово, которое хотите написать""",0
больно,"2) в каком разделе речи употребляются наречия ""боль в живот"", ""боль"", ""боль Напишите предложение со словом ""больно""",1
человек,Что вы ответили бы в Вашем предложении-человек,1
выходить,Выходить на улицу..,1
насекомое,"Насекомое похоже на муху: у неё на затылке маленькие коричневые и зеленые Напишите предложение со словом ""насекомое""",1
приглашение,"пригласит! Напишите предложение со словом ""приглашение""",1
поездка,"Если нет, то по какому адресу следует ехать",0
подготовиться,Напишите его с помощью графической формы,0
бегать,"- Ты, что, в самом деле боишься? Напишите предложение со словом ""бегать""",1
мандарин,"И снова здравствуйте друзья!  Сегодня, я хочу вас познакомить с моим давним увлечением Напишите предложение со словом ""мандарин""",1
отличный,"Как определить характер сочинения?  Для чего нужна запятая?  Какие функции выполняет запятая? Напишите предложение со словом ""отличный""",1
доллар,"С помощью этой онлайн консультации вы сможете получить подробную консультацию специалиста, выяснить все тонкости его работы и ответить Напишите предложение со словом ""доллар""",1
американка,"35244116	stepan-pishet	2015-12- Напишите предложение со словом ""американка""",1
сын,"В школе меня учили что нельзя давать Напишите предложение со словом ""сын""",1
видно,Не понимаю смысла в таких предложениях,0
глупо,"А какая из предложенных одна? Напишите предложение со словом ""глупо""",1
дружелюбный,"Привет, я с собакой",0
прыжок,"прыжок, прыжок",1
гранат,1,0
довольно,"Как сделать акцент на своем автомобиле при оформлении? Напишите предложение со словом ""довольно""",1
ясный,Но в данном случае оно явно выражено не так,0
доска,"Это, конечно, не то, что ""жёсткий"", но что-то похожее: "" Напишите предложение со словом ""доска""",1
бал,"Сдача на 5-8 баллов, без проблем, но при этом – с отличным результатом по ЕГЭ Напишите предложение со словом ""бал""",1
соленый,"Вариантов много, и Вы найдете их, и все они имеют свои особенности",0
женщина,"а ты чо Напишите предложение со словом ""женщина""",1
проспект,смотря когда в парке будет парк.,0
мед,"(Читайте внимательно по текстам, чтобы не было ошибок в этом словосочетании) Напишите предложение со словом ""мед""",1
велосипед,"Друзья, что за вопрос, у меня был ""велосипед велосипед, велосипед""? Напишите предложение со словом ""велосипед""",1
краска,Сколько слов по буквам пишется с буквой е или буква н? Помогите с ответом,0
замужем,"Какое слово из предложенного вы бы хотели вставить на первое место? Напишите предложение со словом ""замужем""",1
воскресенье,"Напишите слово в котором присутствует слово ""воскресенье""",1
сверху,А.Некрасов,0
практиковаться,"Напиши ""практироваться""",0
некуда,"В предложении не требуется наречие, необходимо слово с глаголом: Куда?, В чем? Напишите предложение со словом ""некуда""",1
наверху,Сформулируйте мысль правильно,0
замужем,"Приведите пример предложения с подобным словосочетанием: ""Я учусь в школе, там всё как на Напишите предложение со словом ""замужем""",1
Канада,"Канада (в переводе с английского) - страна-стратофабриКА-ст Напишите предложение со словом ""Канада""",1
трудный,"Если можно, то какую, например?)) Напишите предложение со словом ""трудный""",1
адрес,"Длинная узкая лестница, в которой ты, возможно, должен, но тебя, скорее всего, Напишите предложение со словом ""адрес""",1
закрыто,"В ""закрытой"" форме предложения ""внутреннее помещение"" и в ""край Напишите предложение со словом ""закрыто""",1
поесть,"6557093	konst-guitar-sound	2010- Напишите предложение со словом ""поесть""",1
вчетвером,"Из предложенного вы сможете составить словосочетание: ""Татьяна Александровна, мы собираемся пойти к Напишите предложение со словом ""вчетвером""",1
лев,"В предложении можно написать любое слово, используя слово ""лев""",1
желудок,"В желудке очень вкусно Напишите предложение со словом ""желудок""",1
назад,В конце,0
временно,По мнению Ф.С,0
практика,"Профессия Напишите предложение со словом ""практика""",1
форма,"Какой формат у тебя формат? Напишите предложение со словом ""форма""",1
собирать,Собирай,0
вслух,"Вслух Напишите предложение со словом ""вслух""",1
пингвин,пинчер на резинке,0
ягода,"напишите предложение со словом ""ягода"") Напишите предложение со словом ""ягода""",1
шарф,"В каком случае следует писать слово ""шарф"", при этом, как правильно выберёте слово "" Напишите предложение со словом ""шарф""",1
индекс,Индекс,1
кабачок,"Задание на тему: ""Напишите предложение со словом ""барано"" в предложении"" Напишите предложение со словом ""кабачок""",1
уродливый,Отвратительный,0
снимать,"Не напишет, а потом не узнает",0
вниз,"Например, если кто-то хочет сделать селфи в пабе",0
мир,-- Взаимно! -- в восторге воскликнула девушка,0
спина,"это значит что у позвоночницы позвоночник, она у тебя спинальная, но это значит что Напишите предложение со словом ""спина""",1
тигр,"Мяукнуть Напишите предложение со словом ""тигр""",1
соус,"Опишите вкус этого блюда – ""соус Оливье"" или классический соус ""Карри""",1
сдача,"Какой вариант? Напишите предложение со словом ""сдача""",1
прогулка,Днем я гуляю с ребятами и они меня слушают-смотря на чем,0
скважина,"Пожалуйста, не забудьте добавить сюда еще одно слово или словосочетание",0
близко,"близко Напишите предложение со словом ""близко""",1
одеяло,"Выложили список вариантов, как по нему подобрать слова подобрать в данном предложении",0
крыло,Добрый вечер,0
брать,"а что там выбирать (и где?)? если в выборе то берём и покупаю или берем да Напишите предложение со словом ""брать""",1
фонарик,"""Бывает..."", ""в основном""..."", а ""считается не так"" и т",0
коньяк,"я люблю коньяк, но вот в этом году не знаю как быть...",1
середина,"В предложении в словах ""середина"" и ""середина"" пропущены окончания Напишите предложение со словом ""середина""",1
обычно,Это типа как я - в гостях у мамы,0
рассказать,"- Какова цена вопроса с точки зрения содержания? Напишите предложение со словом ""рассказать""",1
Мексика,"Какой вариант в предложении?  Пожалуйста подскажите, какие слова пишутся со словом ""Мекси Напишите предложение со словом ""Мексика""",1
коала,"17376272	bogomilos	2006-11-01 20 Напишите предложение со словом ""коала""",1
головной,"А если не умеете писать, то не надо",0
робот,"С помощью данного предложения Вы можете использовать любую технику, которая вам потребуется для того, чтобы стать роботом Напишите предложение со словом ""робот""",1
корова,"В магазине сходит в магазин, там будет очередь с молочниками, там всё будет хорошо! Напишите предложение со словом ""корова""",1
невысокий,"низкопоклонник (низкопоклонник) Напишите предложение со словом ""невысокий""",1
манго,"В предложении есть запятая, на что можно обратить внимание: при переводе маго в виаг Напишите предложение со словом ""манго""",1
французский,"Не знаю, как он меня поймет, но думаю так: -""Простите, если я пута Напишите предложение со словом ""французский""",1
ежегодно,"В какой стране самый настоящий рай на земле? Напишите предложение со словом ""ежегодно""",1
запад,"Не стоит писать ""зато""..",0
игра,Составьте текст сказуемого,0
уютно,"Какие существуют предложения со словом ""уютно""?  Примеры предложений со словом ""уютно"": Напишите предложение со словом ""уютно""",1
иначе,"Одинаково - для первого способа - ""иначе""..",1
доска,и-д,0
ворота,вопрос не корректный,0
вкус,"Включаются в речи при звонке или на звонок (множественное число)"".Какие есть Напишите предложение со словом ""вкус""",1
пицца,Спасибо вам за Ваш труд и внимание,0
нельзя,"можно Напишите предложение со словом ""нельзя""",1
нравиться,1,0
мужчина,"Я с удивлением обнаружил, что женщины в моем списке на работе мне завидуют: с одной из Напишите предложение со словом ""мужчина""",1
тепло,"У Вас на данный момент нет времени на общение с другими людьми и Вы думаете, что не успеете познакомиться Напишите предложение со словом ""тепло""",1
азиатский,"Напишите слово с предлогом ""азиат""",0
живот,"Если вы его не знаете и не понимаете смысла слова, просто напишите ему в комментариях",0
подвал,"Внизу слева справа есть слово""подвал""",1
выиграть,"""Подать заявку на участие"" - это на кого? На фонд помощи нуждающимся",0
неправильно,— У него есть две семьи,0
смешно,"Когда он смотрит на вас, а потом, когда вы на них смотрите",0
спереди,"Если предложение написано в форме СС, то со значением ""спереди"", то со словом "" Напишите предложение со словом ""спереди""",1
носорог,"Косарев Напишите предложение со словом ""носорог""",1
быть,Мне это очень интересно,0
табурет,"Беременные люди часто не умеют говорить, зато умеют плакать! Напишите предложение со словом ""табурет""",1
вход,"Например, в саду появились овощи, но не было яблок",0
ученик,"вопрос к классному руководителю или педагогу (какой уровень образования) Напишите предложение со словом ""ученик""",1
впустую,Напишите слова-невесту или жениха,0
помнить,"Если нет, напишите с какими либо предложениями не связанное со словом ""помнить""",1
член,Сформулируйте свои критерии оценки по этим критериям и напишите свой,0
вслух,"– Голос у него был такой хрипловатый, глухой и как будто у него самого в горле была Напишите предложение со словом ""вслух""",1
именинный,Это очень легко объясняется,0
почта,"Он появится в тексте, если не заполните форму ниже",0
происходить,"В данном случае ""сбылось"" на 99 процента",0
пуф,"Например: ""Вы что хотите, чтобы я вас трахнул?  Вам не нравится этот тип? Напишите предложение со словом ""пуф""",1
разница,"— ""Разница""",1
звук,"-- В смысле звуковая часть речи Напишите предложение со словом ""звук""",1
есть,"В предложении пропущено слово ""есть"" (возможно, пропущено слово ""найти""), при этом слово Напишите предложение со словом ""есть""",1
отправить,Оно должно состоять из 10-15 слов,0
укроп,"3 ""И тут на меня напал кто-то из них, и мы стали вместе смеяться от смеха Напишите предложение со словом ""укроп""",1
нарочно,Приведите примеры или определите виды предложения,0
коричневый,"коричневый Напишите предложение со словом ""коричневый""",1
дверь,"Пожалуйста, помогите выполнить",0
выгодно,"А зачем это надо? Напишите предложение со словом ""выгодно""",1
Бразилия,"""Бразилия"" в данном случае выражает ""часть Латинской Америки, как и весь Юго- Напишите предложение со словом ""Бразилия""",1
болтать,"Как правильно составить предложения со словом ""болтать""? Напишите предложение со словом ""болтать""",1
перец,"перец сладкий Напишите предложение со словом ""перец""",1
грозно,"* * * Напишите предложение со словом ""грозно""",1
материя,"Для женщины, которая любит",0
лекарство,Это очень важно: чтобы лекарство всегда находилось в форме,1
выучивать,"Чтобы писать грамотно, точите в себе языковые способности, и сможете быстро выучить иностранный Напишите предложение со словом ""выучивать""",1
остановиться,Начни,0
золото,"вопрос не корректен, это выражение было написано на латинском языке, а в данном случае Напишите предложение со словом ""золото""",1
стул,"""Высоко сижу, далеко гляжу..."" Это к вопросу о стакане",0
шумный,"Помогите, пожалуйста, решить математическую задачу",0
глаз,Напишите в предложении слова с синонимом глаз,1
питомец,"племянник родился в семье не то, чтобы большого семейства, но совсем в глуши Напишите предложение со словом ""питомец""",1
вправо,"Меньше всего вы хотите сказать что-то, типа ""иду на работу, там на Напишите предложение со словом ""вправо""",1
верно,"Вы пишите предложения со словом ""подтверждающие""",0
трижды,За это время Вы успели сделать выбор из четырёх?  Опишите своё предложение максимально подробно,0
класс,М,0
палатка,"палатка))) Напишите предложение со словом ""палатка""",1
радуга,"Радуга: Напишите предложение со словом ""радуга""",1
Финляндия,"Какая его часть?  Финляндия- это Норвегия?  Какая ваша часть? Напишите предложение со словом ""Финляндия""",1
неправильный,"Неправильный выбор адреса для ответа (например, если адрес ""Лайфлайвинград"" Напишите предложение со словом ""неправильный""",1
округ,"Я не смог выделить в строку ""плюс-минус"" (не могу найти текст по слову Напишите предложение со словом ""округ""",1
бок,Писать,0
араб,"Араб! Напишите предложение со словом ""араб""",1
пол,"Например: Напишите предложение со словом ""пол""",1
беспокоиться,"Я б хотела, чтоб все время было пусто...",0
стоить,Не получится,0
банк,Чтобы продолжить фразу воспользуйтесь следующей формой,0
лучший,"Напишите три предложения со словом ""лучший"", после чего предложите придумать с ними примерный список Напишите предложение со словом ""лучший""",1
груша,Напишите стихотворение:,0
деревня,"Что это значит? Напишите предложение со словом ""деревня""",1
позавчера,"Как это можно сделать? Напишите предложение со словом ""позавчера""",1
мальчик,"мальчик)))))))))))))))))))))))))))))))))))))))))))))))) Напишите предложение со словом ""мальчик""",1
дома,"Уважаемые девушки, вопрос, который я хочу вам задать",0
Бразилия,Вариантов по данному слову - 13,0
коврик,"""Коврик"" это обувь",1
ручка,"А потом - СМЕЙТЕ, ЧЕТЫРЕ СНИМКИ И ПОДСКА Напишите предложение со словом ""ручка""",1
великий,Зайдите на блог,0
завтракать,"Вы готовы потратить ваше время?! Напишите предложение со словом ""завтракать""",1
тыква,"Пирожное ""Тысень"", ""Куликов-водопроводчиков"", "" Напишите предложение со словом ""тыква""",1
невысокий,4) Пункт из двух предлогов равен одному слогу,0
вбок,"Если нет возможности написать предложение со словом ""вбок"", то пишите предложение со словом ""вправо Напишите предложение со словом ""вбок""",1
личность,"Какое бы отношение вы ни задавали себе, вы всегда должны находить в самой себе черты, которые бы Напишите предложение со словом ""личность""",1
открытка,"""Открытка""",1
поздний,"конец марта по григориански-это окончание Напишите предложение со словом ""поздний""",1
выключатель,"выключатели всегда вырубают Напишите предложение со словом ""выключатель""",1
резина,"Она является не чем иным, как самой поверхностью этого предмета (весьма небольшого размера)",0
краска,"- Я знаю, - говорит она, глядя на меня, - вы правы",0
естественно,"естественный закон природы Напишите предложение со словом ""естественно""",1
класс,"Пожалуйста! Только на англ)) Напишите предложение со словом ""класс""",1
сокровище,"Его можно придумать как по-разному – и таким, как пример: ""Сокровище – Напишите предложение со словом ""сокровище""",1
соль,"Из каких мест России вы путешествуете? Напишите предложение со словом ""соль""",1
аттракцион,"Можно ли будет по русски выучить русский язык на слух? Напишите предложение со словом ""аттракцион""",1
вдалеке,У меня есть два варианта ответа,0
быть,"Быстрое или быстрое, быстро и дешево, быстрыми или быстрыми, быстро или быстро, Напишите предложение со словом ""быть""",1
чемпион,Д.Д.: Это уже будет по-другому,0
